Sähköpostin aihe,Tiedosto,Milloin lähetetään,Kenelle lähetetään,Hakemuksen kenttätunnukset,Hakemuksen kenttätyypit,Kantasarakkeet
Linkki organisaationne avustushakemukseen,new-hakemus.plain.fi,Kun hakija aloittaa uuden hakemuksen.,yhteyshenkilö,primary-email,-,-
Linkki organisaationne avustushakemukseen,new-jotpa-hakemus.plain.fi,"Kun hakija aloittaa uuden hakemuksen JOTPA:n hakuun. Sama viesti kuin edellinen, mutta lähettäjänä JOTPA.",yhteyshenkilö,primary-email,-,-
Automaattinen viesti: organisaationne avustushakemus on kirjattu vastaanotetuksi (täydennyksen jälkeen: ...avustushakemusta on täydennetty),hakemus-submitted.plain.fi,"Kun hakija lähettää hakemuksen, ja uudelleen kun hakija täydentää sitä.","yhteyshenkilö, varayhteyshenkilö, allekirjoittajat, organisaation virallinen sposti",primary-email; trusted-contact-email; organization-email; signatories-fieldset-N.email; signature-email,vaEmailNotification,hakemukset.business_id
Automaattinen viesti: avustushakemusta on täydennetty,hakemus-change-request-responded.plain.fi,Kun hakija on vastannut täydennyspyyntöön.,"Virkailija, joka lähetti VIIMEISIMMÄN täydennyspyynnön.",-,-,hakemukset.user_email
Automaattinen viesti: avustushakemuksen loppuselvitystä on täydennetty,loppuselvitys-change-request-responded.plain.fi,Kun hakija on täydentänyt loppuselvitystä.,"Virkailija, joka lähetti ENSIMMÄISEN loppuselvityksen täydennyspyynnön.",-,-,hakemukset.user_email
Organisaationne loppuselvitystä on täydennetty: [asianumero] [hankkeen nimi],loppuselvitys-change-request-received.plain.fi,Kun hakija on täydentänyt loppuselvitystä (kuittaus hakijalle).,"yhteyshenkilö, varayhteyshenkilö, organisaation virallinen sposti",primary-email; organization-email,-,normalized_hakemus.contact_email; normalized_hakemus.trusted_contact_email; normalized_hakemus.valiselvitys_contact_email; normalized_hakemus.loppuselvitys_contact_email; normalized_hakemus.loppuselvitys_organization_email; normalized_hakemus.valiselvitys_organization_email; hakemukset.business_id
Väliselvityksenne on vastaanotettu,valiselvitys-submitted-notification.plain.fi,Kun hakija lähettää väliselvityksen.,"yhteyshenkilö, varayhteyshenkilö, organisaation virallinen sposti",primary-email; organization-email,-,normalized_hakemus.contact_email; normalized_hakemus.trusted_contact_email; normalized_hakemus.valiselvitys_contact_email; normalized_hakemus.loppuselvitys_contact_email; normalized_hakemus.valiselvitys_organization_email; hakemukset.business_id
Loppuselvityksenne on vastaanotettu,loppuselvitys-submitted-notification.plain.fi,Kun hakija lähettää loppuselvityksen.,"yhteyshenkilö, varayhteyshenkilö, organisaation virallinen sposti",primary-email; organization-email,-,normalized_hakemus.contact_email; normalized_hakemus.trusted_contact_email; normalized_hakemus.valiselvitys_contact_email; normalized_hakemus.loppuselvitys_contact_email; normalized_hakemus.loppuselvitys_organization_email; normalized_hakemus.valiselvitys_organization_email; hakemukset.business_id
Automaattinen viesti: saapunut muutoshakemus,notify-valmistelija-of-new-muutoshakemus.plain.fi,Kun hakija jättää muutoshakemuksen.,Hakemukselle ukotettu esittelijä (yksi henkilö).,-,-,arviot.presenter_role_id -> avustushaku_roles.email
Automaattinen viesti: Avustuksen saajan ilmoitus,application-refused-presenter.plain.fi,"Kun hakija ilmoittaa, ettei ota avustusta vastaan.",Kaikki avustushaun valmistelijat (esittelijät ja vastuuvalmistelijat).,-,-,avustushaku_roles.email
Ilmoitus avustuksenne vastaanottamatta jättämisestä on lähetetty,application-refused.plain.fi,"Kun hakija ilmoittaa, ettei ota avustusta vastaan (kuittaus hakijalle).","yhteyshenkilö, varayhteyshenkilö, organisaation virallinen sposti",primary-email,-,normalized_hakemus.contact_email; normalized_hakemus.trusted_contact_email; hakemukset.business_id
Täydennyspyyntö avustushakemukseesi,taydennyspyynto.plain.fi,Kun virkailija asettaa hakemuksen tilaan 'odottaa täydennystä'.,"Vastaanottaja: yhteyshenkilö ja organisaation virallinen sposti. Kopio (cc): allekirjoittajat, organisaation virallinen sposti, varayhteyshenkilö. Piilokopio (bcc): täydennyspyynnön lähettänyt virkailija.",primary-email; signatories-fieldset-N.email; organization-email; trusted-contact-email,vaEmailNotification (vain kopiokentän allekirjoittajat),normalized_hakemus.contact_email; normalized_hakemus.trusted_contact_email; hakemukset.business_id
Automaattinen viesti: organisaationne avustushakemus on käsitelty - Linkki päätösasiakirjaan,paatos-refuse.plain.fi,Kun myönteinen päätös lähetetään. Viesti sisältää linkit avustuksen vastaanottamiseen/kieltäytymiseen ja muutoshakemukseen.,"yhteyshenkilö, varayhteyshenkilö, allekirjoittajat, organisaation virallinen sposti",organization-email; signatories-fieldset-N.email; primary-email; signature-email,vaEmailNotification,normalized_hakemus.contact_email; normalized_hakemus.trusted_contact_email; hakemukset.business_id
Automaattinen viesti: organisaationne avustushakemus on käsitelty - Linkki päätösasiakirjaan,paatos.plain.fi,"Kun kielteinen (hylätty) päätös lähetetään. Muuten sama kuin edellinen, mutta ilman vastaanotto-/kieltäytymislinkkejä.","yhteyshenkilö, varayhteyshenkilö, allekirjoittajat, organisaation virallinen sposti",organization-email; signatories-fieldset-N.email; primary-email; signature-email,vaEmailNotification,normalized_hakemus.contact_email; normalized_hakemus.trusted_contact_email; hakemukset.business_id
Automaattinen viesti: organisaationne muutoshakemus on käsitelty - Linkki päätösasiakirjaan,muutoshakemus-paatos.plain.fi,Kun virkailija tekee päätöksen muutoshakemukseen.,"yhteyshenkilö, varayhteyshenkilö, organisaation virallinen sposti",-,-,normalized_hakemus.contact_email; normalized_hakemus.trusted_contact_email; hakemukset.business_id
Väliselvitys [asianumero] käsitelty / Loppuselvitys [asianumero] käsitelty (virkailija voi muokata aihetta ja viestiä),selvitys.plain.fi,Kun virkailija hyväksyy väli- tai loppuselvityksen.,Virkailijan valitsemat vastaanottajat. Valmiiksi ehdotetaan yhteyshenkilö ja varayhteyshenkilö; virkailija voi lisätä tai poistaa osoitteita käsin ennen lähetystä.,primary-email; trusted-contact-email; valiselvitys.primary-email; loppuselvitys.primary-email,-,normalized_hakemus.contact_email; normalized_hakemus.trusted_contact_email; normalized_hakemus.valiselvitys_contact_email; normalized_hakemus.loppuselvitys_contact_email
Väliselvitys täytettävissä haulle [haun nimi],valiselvitys-notification.plain.fi,Kun virkailija lähettää väliselvityspyynnöt hyväksytyille hakemuksille.,"yhteyshenkilö, varayhteyshenkilö, organisaation virallinen sposti",organization-email; primary-email; signature-email,vaEmailNotification,normalized_hakemus.contact_email; normalized_hakemus.trusted_contact_email; hakemukset.business_id
Loppuselvitys täytettävissä haulle [haun nimi],loppuselvitys-notification.plain.fi,Kun virkailija lähettää loppuselvityspyynnöt hyväksytyille hakemuksille.,"yhteyshenkilö, varayhteyshenkilö, organisaation virallinen sposti",organization-email; primary-email; signature-email,vaEmailNotification,normalized_hakemus.contact_email; normalized_hakemus.trusted_contact_email; hakemukset.business_id
Automaattinen viesti: Yhteishankkeen avustushakemus [haun nimi] on kirjattu vastaanotetuksi,yhteishanke-hakemus-submitted.plain.fi,Kun yhteishankkeen hakemus lähetetään.,"yhteishankkeen osapuolen yhteyshenkilö. Jokaiselle lähtee oma erillinen viesti, vastaanottajat eivät näe toisiaan.",other-organizations.other-organizations-N.email,-,yhteishanke_organization.email
Automaattinen viesti: Yhteishankkeen [asianumero] väliselvitys on vastaanotettu,yhteishanke-valiselvitys-submitted.plain.fi,Kun yhteishankkeen väliselvitys lähetetään.,"yhteishankkeen osapuolen yhteyshenkilö. Jokaiselle lähtee oma erillinen viesti, vastaanottajat eivät näe toisiaan.",other-organizations.other-organizations-N.email,-,yhteishanke_organization.email
